ordnum,orddetid,custcode,name,Ship to,descr,count size,Condition,variety,Sizes,Label,Order Status,Sum of pallets,Sum of qty,shpDate,deldate,dp,todp,Pallet
2904137,861556,UNISUB,UNITED SUPERMARKETS,UNITED SUPERMARKETS,Blueberries,18OZX8,.,.,.,ALP,Open,,432,4/29/2025 0:00,5/2/2025 0:00,77,1857,3
2904137,861558,UNISUB,UNITED SUPERMARKETS,UNITED SUPERMARKETS,Blueberries,18OZX8,OR,.,.,HIP,Open,,288,4/29/2025 0:00,5/2/2025 0:00,77,1857,2
2904137,861557,UNISUB,UNITED SUPERMARKETS,UNITED SUPERMARKETS,Blueberries,DRYPINTX12,.,.,.,ALP,Open,,864,4/29/2025 0:00,5/2/2025 0:00,77,1857,6
2904138,861562,UNISUB,UNITED SUPERMARKETS,UNITED SUPERMARKETS,Blueberries,18OZX8,.,.,.,ALP,Open,,432,4/30/2025 0:00,5/4/2025 0:00,77,1857,3
2904138,861561,UNISUB,UNITED SUPERMARKETS,UNITED SUPERMARKETS,Blueberries,18OZX8,OR,.,.,HIP,Open,,288,4/30/2025 0:00,5/4/2025 0:00,77,1857,2
2904138,861560,UNISUB,UNITED SUPERMARKETS,UNITED SUPERMARKETS,Blueberries,DRYPINTX12,.,.,.,ALP,Open,,864,4/30/2025 0:00,5/4/2025 0:00,77,1857,6
2904142,862004,COLLBI,ANTHONY MARANO ATLANTA BILLING,ANTHONY MARANO ATLANTA,Blueberries,6OZX6,.,.,.,ALP,Open,,360,4/29/2025 0:00,5/1/2025 0:00,77,1209,1
2904144,862076,CAPPRO,CAPITOL CITY PRODUCE,CAPITOL CITY PRODUCE,Blueberries,6OZX12,.,.,.,ALP,Open,3,720,4/29/2025 0:00,4/30/2025 0:00,2,1159,3
2904147,863731,UNISUB,UNITED SUPERMARKETS,UNITED SUPERMARKETS,Blueberries,9.8OZX12,.,SEKO,18+,AJB,Open,,288,4/30/2025 0:00,5/2/2025 0:00,2,1857,1.4
2904148,863734,UNISUB,UNITED SUPERMARKETS,UNITED SUPERMARKETS,Blueberries,9.8OZX12,.,SEKO,18+,AJB,Open,,432,5/2/2025 0:00,5/4/2025 0:00,2,1857,2.1
2904150,863769,CAPPRO,CAPITOL CITY PRODUCE,CAPITOL CITY PRODUCE,Blueberries,6OZX12,.,.,.,ALP,Open,1,240,4/30/2025 0:00,5/1/2025 0:00,2,1159,1
